County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Monroe,Curbside Market-Maco PKG-Newark,412 Van Buren St Newark 14513,412 Van Buren St,Newark,NY,14513,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Thu 3:15pm-4:15pm,July 9-December 17,M/X,Y,Y,N,Y,43.05012,-77.07939,"(43.05012, -77.07939)"
Suffolk,Schneider's Farm Stand,316 Old Country Rd.  Melville,316 Old Country Road,Melville,NY,11747,Mary Schneider,6316735844,http://www.schneidersfarmmelville.com,Daily  9am-6pm,April 23-December 24,P/M/X,Y,N,N,Y,40.80186,-73.39911,"(40.80186, -73.39911)"
Ulster,Woodstock Farm Festival Farmers' Market,6 Maple Lane,6 Maple Ln,Woodstock,NY,12498,Jessica Lunt,8452420275,http://www.woodstockfarmfestival.com,Wednesday  3pm-8pm,May 27-October 7,P/M,Y,Y,N,Y,42.04018,-74.11797,"(42.04018, -74.11797)"
Orleans,Watt Farms Country Market,3121 Oak Orchard Rd. Albion,3121 Oak Orchard Rd,Albion,NY,14411,Karen Watt,5855898000,http://www.wattfarms.com,Daily  9am-9pm,June 1-December 25,M/X,Y,N,N,Y,43.265158,-78.192266,"(43.265158, -78.192266)"
Onondaga,Skaneateles Farmers' Market-Thursday,1 East Austin St. Austin Park Pavilion,One E. Austin St,Skaneateles,NY,13152,Sue Murphy,3157279320,http://www.townofskaneateles.com,Thurs 3:30pm-6:30pm,May 21-October 15,P/M,Y,N,N,Y,42.95089,-76.4309,"(42.95089, -76.4309)"
Erie,MAP Mobile Market-Elim Fellowship,"70 Chalmers Ave. Buffalo, Parking lot, at Holden St.",70 Chalmers Avenue,Buffalo,NY,14214,Danielle Rovillo,7168825327,http://www.mass-ave.org,Wednesday 11am-1pm,June 6-October 29,M,Y,Y,N,Y,42.93779,-78.83581,"(42.93779, -78.83581)"
Oswego,Godfrey's Last Stand Farm Stand,1232 State Route 264 Phoenix,1232 State Route 264,Phoenix,NY,13135,Roberta and Josephine Godfrey,3155937291,http://www.facebook.com/Godfreys-Last-Stand-146264062067804/,Daily  11am-5pm,May 1-December 23,P/M,Y,Y,N,Y,43.31155,-76.29001,"(43.31155, -76.29001)"
Oneida,Vienna Farmers' Market,7812 State Rte 13 Blossvale,7812 State Rte 13,Blossvale,NY,13471,Jessica Johnson-Travers,3158866824,http://www.vfm-ny.com,Thursday 3pm-6:30pm,May 21-October 1,M,Y,Y,N,Y,43.24004,-75.70196,"(43.24004, -75.70196)"
Nassau,Eisenhower Park Farm Stand,Eisenhower Park Stewart @ Merrick Ave. Parking Field 8 East Meadow,Stewart @ Merrick Ave.,East Meadow,NY,11554,Jane Kraus,5168322591,http://ccenassau.org,Saturday 10am-1pm,July 18-October 17,M,Y,N,N,Y,40.73687,-73.58301,"(40.73687, -73.58301)"
Suffolk,Red Fox Farm Farm Stand,1725 Brentwood Rd,1725 Brentwood Rd,Brentwood,NY,11717,Ernest Herrington,6312770159,http://www.redfoxfarmfarm,Thu/Sat 9am-5pm,May 30-October 31,M,Y,N,N,Y,40.77235,-73.24614,"(40.77235, -73.24614)"
Erie,Clinton Bailey Fri Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Friday 7am-6pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:40pm-1pm,Year-round,YR,Y,Y,Y,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Richmond,Saint George Greenmarket,35 Hyatt St. at St. Mark's Place Staten Island,St Marks Pl and Hyatt St,Staten Island,NY,10301,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/staten-island/saint-george,Saturday  9am-1pm,Year-round,YR,Y,Y,N,Y,40.64159,-74.07791,"(40.64159, -74.07791)"
Ulster,Kingston Farmers' Market,Old Dutch Church 272 Wall Street,Wall St and John St,Kingston,NY,12401,Laura Crimmins,6462624672,http://www.kingstonfarmersmarket.org,Saturday  9am-2pm,May 9-November 21,P/M,Y,Y,Y,Y,41.93384,-74.01968,"(41.93384, -74.01968)"
Lewis,Colwell's Farm Stand and Garden Center,6007 State Route 12 Glenfield,6007 State Route 12,Glenfield,NY,13343,Michael Colwell,3153767402,http://www.colwellsfarmmarket.com,Daily 9am-6pm,April 1-December 20,P/M/X,Y,Y,N,Y,43.71844,-75.41148,"(43.71844, -75.41148)"
Bronx,"Learn it, Grow it, Eat it  GrowNYC Farm Stand",169th St. & Boston Rd. at McKinley Square,E. 169th St. and Boston Rd.,Bronx,NY,10456,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Wednesday  10am-3pm,July 15-November 26,M,Y,Y,N,Y,40.83121,-73.90022,"(40.83121, -73.90022)"
Albany,South End Healthy Farmers' Market,153 Grand St  Albany,20 Warren Street,Albany,NY,12202,Tom McPheeters,5184519849,http://www.avillageworks.org/south-end-healthy-market.html,Thursday 3pm-7pm,May 27-October 29,M,Y,Y,N,Y,42.64326,-73.7599,"(42.64326, -73.7599)"
Cattaraugus,Perfectly Blended Farm Farm Stand,3819 Riceville Rd. Machias,3819 Riceville Rd,Machias,NY,14101,Melissa Keller,7162580645,http://www.perfectlyblendedfarm.com,"Friday 5pm-8pm, Sat/Sun 10am-2pm",May 2-October 17,P/M,Y,N,N,Y,42.43378,-78.51896,"(42.43378, -78.51896)"
Cayuga,Dragonfly Hill Farm Farm Stand,3984 Austin Rd Moravia,3984 Austin Rd,Moravia,NY,13118,Rebecca Davis,3155188163,,Daily 9am-5pm,Year-round,YR,Y,N,N,Y,42.6992,-76.47732,"(42.6992, -76.47732)"
Monroe,Curbside Market-Charlotte Harbortower I,4575 Lake Ave. Rochester,4575 Lake Avenue,Rochester,NY,14612,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Fri 2:30pm-3:45pm,July 10-December 18,M/X,Y,Y,N,Y,43.25492,-77.61411,"(43.25492, -77.61411)"
Greene,Black Horse Farms Farm Stand,10094 Rt. 9W Athens,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Daily  8am-6pm,March 20-December 24,W/P/M/X,Y,Y,N,Y,42.30634,-73.85043,"(42.30634, -73.85043)"
Saratoga,Saratoga Nemer Farmers' Market,"Dodge-Jeep-Nemer Dealership, 617 Maple Ave Route 9 Saratoga Springs",617 Maple Ave Route 9,Saratoga Springs,NY,12866,Linda Gifford,5187920198,,Monday 10am-1pm,June 15-October 26,M,Y,N,N,Y,43.11797,-73.7695,"(43.11797, -73.7695)"
Tioga,Spencer-Van Etten Farmers' Market,Nichols Pond on Main Street near Fire Department,Owego Street Ext and N Main St,Spencer,NY,14883,Stephanie Hafl,6075897496,http://www.facebook.com/SpencerVanEttenFarmersMarket/,Saturday  9am-12:30pm,June 6-October 1,M,Y,N,N,Y,42.21138,-76.49267,"(42.21138, -76.49267)"
Nassau,The Garden at St. Francis Farm Stand,1692 Bellmore Ave  N. Bellmore,1692 Bellmore Ave,North Bellmore,NY,11710,Chris McCabe,5165906718,http://www.stfrancisbellmore.org/the-garden,Sunday  11am-2pm,July 26-October 25,M,Y,N,N,Y,40.68156,-73.53528,"(40.68156, -73.53528)"
Bronx,Bronx Borough Hall Greenmarket,Suspended for Covid  Grand Concourse btwn 161st & 163rd Sts.,901 Grand Concourse,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 2-November 24,M,Y,Y,N,Y,40.82715,-73.92276,"(40.82715, -73.92276)"
Niagara,Veggie Van MM-Baker Victory,790 Ridge Road (rear) Lackawanna,790 Ridge Road,Lackawanna,NY,14218,Jen Regan,7162990905,http://www.cceniagaracounty.org,Wednesday 10am-11am,June 1-October 31,M,Y,Y,N,Y,42.82598,-78.82227,"(42.82598, -78.82227)"
Erie,Holland Farmers' Market,"25 North Main St. Holland, Municipal lot Next to Fire Dept",25 North Main St.,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sunday  8:30am-1pm,May 3-October 25,P/M,Y,N,N,Y,42.64149,-78.54248,"(42.64149, -78.54248)"
Dutchess,Amenia WINTER Farmers' Market,Amenia Town Hall 4988 Route 22,4988 New York 22,Amenia,NY,12501,Sophie Purdy Meili,4133297389,http://www.ameniafarmersmarket.com,"Saturday  10am-2pm, 1st & 3rd Saturday  Jan-Apr",November-April,M/X/W/P,N,Y,N,Y,41.851397,-73.554943,"(41.851397, -73.554943)"
Bronx,Harvest Home N Central Bronx Farmers' Market,E. Mosholu Parkway N. & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 17-November 25,M,Y,Y,N,Y,40.88046,-73.88385,"(40.88046, -73.88385)"
Monroe,Curbside Market-Dunn Towers,100 Dunn Tower Dr. Rochester,100 Dunn Tower Drive,Rochester,NY,14606,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 10:30am-11:45am,July 6-December 14,M/X,Y,Y,N,Y,43.16924,-77.69727,"(43.16924, -77.69727)"
Niagara,Niagara Falls City Friday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Victor Muto,7167540798,http://www.local-farmers-markets.com/market/3569/niagara-falls/niagara-falls-city-market,Friday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
Nassau,Cedarmore Farmers Market-Baldwin LIRR,"Baldwin Train Station Parking Lot #BA 12 , btwn Milburn & Brookside Ave.",Lot #BA12 Sunrise Hwy,Baldwin,NY,115510,Debra Wheat-Williams,5163783415,http://www.freeportfarmersmarket.org/,Sat 11:30am-3:30pm,July 11-October 31,M,Y,Y,N,Y,40.6566,-73.6221,"(40.6566, -73.6221)"
Franklin,JCEO MM-Riverside Haven Apartments,77 Catherine St. Malone,50 Catherine St.,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Thursday 10am-11:15am,June 11-October 15,M,Y,Y,N,Y,44.84783,-74.29156,"(44.84783, -74.29156)"
Bronx,New Roots Community Farm Stand,670 Grand Concourse  Bronx,670 Grand Concourse,Bronx,NY,10451,Sheryll Durrant,2123774747,,Tuesday  3pm-7pm,July 7-October 27,M,Y,N,N,Y,40.82172,-73.92524,"(40.82172, -73.92524)"
Chemung,Grove Park Farm Stand,4th St. & Walnut Ave. Elmira,Walnut Ave and West 4th St,Elmira,NY,14901,Matthew Glenn,6075464535,https://www.facebook.com/GroveParkFarmersMarket,Monday  3pm-6pm,June 1-October 26,M,N,N,N,Y,42.09212,-76.82014,"(42.09212, -76.82014)"
Suffolk,Islip Farmers' Market,"Town Hall Pkg lot , 655 Montauk Hwy,Rt 27A",655 Main Street,Islip,NY,11751,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Saturday 7am-12pm,June 6-November 28,M,Y,N,N,Y,40.72975,-73.21077,"(40.72975, -73.21077)"
Oneida,Boonville Farmers' Market,"Erwin Park parking lot, Route 12","Erwin Park parking lot, Route 12",Boonville,NY,13309,Michelle Bartelotte,3159425112,http://boonvillechamber.com,Thur 12:30pm-5:30pm,June 11-October 1,M,Y,N,N,Y,43.48178,-75.34404,"(43.48178, -75.34404)"
Queens,Brooklyn Grange Farm Stand @ LIC,"On the rooftop 37-18 Northern Blvd. , Long Island City",37-18 Northern Blvd.,Long Island City,NY,11101,Ben Flanner,6082150218,http://www.brooklyngrangefarm.com,Saturday  10am-4pm,May 16-October 31,P/M,Y,Y,N,Y,40.75201,-73.92583,"(40.75201, -73.92583)"
Dutchess,Dykeman Farm Farm Stand,31 Dykeman Lane Pawling,31 Dykeman Lane,Pawling,NY,12564,Beth Dykeman,8458326068,http://www.dykemanfarm.com,Daily  9am-6pm,July 1-October 31,M,Y,N,N,Y,41.62739,-73.60795,"(41.62739, -73.60795)"
Franklin,Whitten Family Farm Stand-The Hub,320 Park St. Tupper Lake,320 Park Street,Tupper Lake,NY,12986,Cherie Whitten,3153595112,http://www.whittenfamilyfarm.com,Wed/Thu/Fri/Sat/Sun 11am-5pm,June 21-November 21,P/M,Y,N,N,Y,44.22528,-74.44821,"(44.22528, -74.44821)"
New York,Dag Hammarskjold Plaza Greenmarket,245 E 47th St. btwn 1st & 2nd Aves.,East 47th St and Second Ave,New York,NY,10017,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/dag-hammarskjold,Wednesday  8am-4pm,Year-round,YR,Y,Y,N,Y,40.75298,-73.96989,"(40.75298, -73.96989)"
Albany,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave. Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184341730,http://www.facebook.com/DelawareAreaNeighborhoodAssociation,"Tuesdays  4pm-7pm, Oct-Nov 3pm-6pm",June 23-November 17,M,Y,Y,N,Y,42.64305,-73.77824,"(42.64305, -73.77824)"
Ontario,Jim Dooley Center Farm Stand,196 North St Geneva,196 North St,Geneva,NY,14456,Kathy Ryrko,3157874190,,Monday 3pm-6pm,July 8-September 28,M,Y,N,N,Y,42.87573,-76.9877,"(42.87573, -76.9877)"
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave.  Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Sat  9am-7pm, Sunday  9am-6pm","Aug 1-March 30, 2021",M/X/W,Y,Y,N,Y,43.01314,-76.50749,"(43.01314, -76.50749)"
Allegany,Alfred Farmers' Market,3 South Main St.,3 South Main Street,Alfred,NY,14802,Mary Gardner-Ruch,6075879244,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,June 14-October 24,M,Y,Y,N,Y,42.25359,-77.79036,"(42.25359, -77.79036)"
Yates,The Windmill Farmers' Market,3900 Route 14A at Hobson Road in Penn Yan,3900 State Route 14A,Penn Yan,NY,14527,Stephen D. Wilson,3155363032,http://www.thewindmill.com,Saturday  8am-4:30pm,May 23-November 28,P/M,Y,N,N,Y,42.57687,-77.03609,"(42.57687, -77.03609)"
Franklin,Malone Farmers' Market,27 Airport Rd. (Rte 11)  Pavilion at Marcy Airfield,27 Airport Road,Malone,NY,12953,Dick Crawford,5185634777,http://www.adirondackfarmersmarket.com,Wed  12pm-4:30pm,May 27-October 7,P/M,Y,N,N,Y,44.84733,-74.32773,"(44.84733, -74.32773)"
Sullivan,Rock Hill Farmers' Market,223 Rock Hill Drive,223 Rock Hill Drive,Rock Hill,NY,12775,Melinda Meddaugh,8453970376,http://www.rockhillfarmersmarket.com,Saturday  10am-1pm,June 6-September 26,M,Y,N,N,Y,41.62515,-74.59634,"(41.62515, -74.59634)"
Clinton,Plattsburgh Farmers' and Craft Sat Market,City parking lot  Durkee & Broad St.,Broad St and Durkee St,Plattsburgh,NY,12901,Julie Baughn,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Saturday  9am-2pm,May 30-October 31,P/M,Y,Y,N,Y,44.69535,-73.45226,"(44.69535, -73.45226)"
Otsego,Cooperstown Tuesday Farmers' Market,101 Main Street in Pioneer Alley near Keybank,101 Main Street,Cooperstown,NY,13326,Ellen Pope,6075478881,http://www.cooperstownfarmersmarket.org,Tuesday 3pm-7pm,June-September,M,Y,Y,N,Y,42.70063,-74.92524,"(42.70063, -74.92524)"
Nassau,Kennedy Plaza Long Beach Farmers' Market-Sat,1 West Chester St. Long Beach,1 West Chester St,Long Beach,NY,11561,Bernadette Martin,5165643485,http://www.ligreenmarket.org,Saturday 9am-2pm,June 17-November 25,P/M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
Nassau,Port Washington Organic Farmers' Market,Port Washington Town Dock 347 Main St.,347 Main St.,Port Washington,NY,11050,Patti Wood,5168830887,http://www.grassrootsinfo.org,Saturday  8am-12pm,June 13-November 21,M,Y,N,N,Y,40.83153,-73.7019,"(40.83153, -73.7019)"
Kings,TFFJ Fresh Farm Market-Brooklyn,85 Watkins St Brooklyn,85 Watkins St,Brooklyn,NY,11212,Katherine Soll,9292411029,http://www.teensforjustice.org,Tuesday 2:30pm-5pm,Year-Round,YR,N,Y,N,Y,40.67083,-73.90815,"(40.67083, -73.90815)"
Livingston,Lima Presbyterian Church Farmers' Market,"7295 W. Main St., Corner of Route 15A",7295 W. Main St.,Lima,NY,14485,Suzanne Muehleisen,5857529238,http://limafarmmarket.com/,Tuesday  3pm-6pm,June 23-October 27,M,Y,N,N,Y,42.90496,-77.61175,"(42.90496, -77.61175)"
Niagara,Veggie Van MM-Lackawana,230 Martin Rd Lackawana,230 Martin Rd,Lackawana,NY,14218,Jen Regan,7162990905,http://cceniagaracounty.org/communities/creating-healthy-schools-communities/creating-healthy-communities/veggie-van,Wed 11:30am-12:30pm,June 1-October 31,M,Y,Y,N,Y,42.81641,-78.8161,"(42.81641, -78.8161)"
Tioga,Seven Counties Farmers' Market-Tues,Rite Aid parking lot 153 Main St. Owego,Main St and Central Ave,Owego,NY,13827,John Purdy,6076428439,,Tuesday  9am-1pm,June-October,M,Y,N,N,Y,42.10324,-76.26314,"(42.10324, -76.26314)"
Saratoga,Ballston Spa Saturday Farmers' Market,Wiswall Park  39 Front St.,Front St and Low St,Ballston Spa,NY,12020,Ellen Mottola,5188852772,http://www.ballston.org,Saturday  9am-12pm,June 20-September 26,M,Y,N,N,Y,43.00256,-73.84964,"(43.00256, -73.84964)"
Essex,Keene Farmers' Market,Rt. 73 Marcy Airfield 1 mi. South of Rt. 9N jct.,2253 State Route 73,Keene Valley,NY,12943,Dan Rivera,5185634777,http://www.adirondackfarmersmarket.com,Sunday  9:30am-2pm,May 31-October 11,M,Y,N,N,Y,44.22067,-73.78561,"(44.22067, -73.78561)"
Delaware,Walton Farmers' Market,Veteran's Plaza  181 Delaware St.,181 Delware Street,Walton,NY,13856,Jeanne Darling,6078656531,http://www.ccedelaware.org,Friday 10am-2pm,July 3-September 25,M,Y,N,N,Y,42.16855,-75.13157,"(42.16855, -75.13157)"
Rensselaer,Veggie Mobile Sprout-O'Neil Apts,2121 6th Ave. Troy,2121 6th Ave.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 3:30pm-4:15pm,Year-round,YR,Y,Y,Y,Y,42.73436,-73.68587,"(42.73436, -73.68587)"
Ontario,Curbside Market-GHA Elmcrest Apts,99 Lewis St. Geneva,99 Lewis St.,Geneva,NY,14456,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Fri 3:15pm-4:15pm,July 10-December 18,M/X,Y,Y,N,Y,42.87091,-76.9846,"(42.87091, -76.9846)"
New York,Union Square Wednesday Greenmarket,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Wednesday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.7371,-73.99032,"(40.7371, -73.99032)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Daily 9am-6:30pm, Nov-May 10am-5pm",Year-round,YR,Y,Y,N,Y,42.14495,-79.10996,"(42.14495, -79.10996)"
Greene,Bulich Creekside Farm Farm Stand,1682 Route 23B  Leeds,1682 Route 23B,Leeds,NY,12451,Ron Bulich,5185885320,,Daily 10am-5pm,July 4-November 5,M,Y,N,N,Y,42.26297,-73.92541,"(42.26297, -73.92541)"
Monroe,Curbside Market-Winton Gardens Towers,2052 East Main St Rochester,2052 East Main St,Rochester,NY,14609,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 10:45am-12:15pm,July 8-December 16,M/X,Y,Y,N,Y,43.16076,-77.55556,"(43.16076, -77.55556)"
Herkimer,MAWS Farm Stand,7342 Main Street Newport,7342 Main Street,Newport,NY,13416,Michael Skwara,3159850088,http://www.mawsfarm.com,"Daily  9am-6pm, hours change Nov-Apr",Year-round,YR,Y,Y,N,Y,43.18096,-75.01054,"(43.18096, -75.01054)"
Tompkins,Ithaca WINTER Farmers' Market,"The Space@GreenStar, 700 West Buffalo St. Ithaca",700 West Buffalo St.,Ithaca,NY,14850,Becca Rimmel,6072737109,http://www.ithacamarket.com,Saturday  10:30am-2pm,January 5-March 30,W,N,Y,N,Y,42.44097,-76.51093,"(42.44097, -76.51093)"
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Georgianna Fairlie,8452544290,http://roundbarnmarket.org,"Saturday  9am-1pm, hours change Oct 17",May 16-November 28,P/M,Y,N,N,Y,42.20103,-74.59909,"(42.20103, -74.59909)"
Onondaga,Syracuse Eastside Neighborhood Market,Westcott Community Ctr 826 Euclid Ave,826 Euclid Ave,Syracuse,NY,13210,Jake Losowski,3154788634,https://westcottcc.org/syracuse-eastside-farmers-market/,Wednesday  2pm-6pm,June 1-November 1,M,Y,Y,N,Y,43.03662,-76.1192,"(43.03662, -76.1192)"
New York,Tucker Square Thursday Greenmarket,125 Columbus Ave btwn W 65th & W 66th Sts.,Columbus and West 66th St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-5pm,Year-round,YR,Y,Y,N,Y,40.77362,-73.98156,"(40.77362, -73.98156)"
Rensselaer,Veggie Mobile Sprout-Monument Square Apts,2  1st Street #1,1st Street #1,Troy,NY,12180,Audrey Bridge,5182748685,http://www.captialroots.org,Tue 12:15pm-12:45pm,Year-round,YR,Y,Y,Y,Y,42.73123,-73.69261,"(42.73123, -73.69261)"
Monroe,Curbside Market-Beechwood Neighborhood,441 Parsells Ave Rochester,441 Parsells Ave,Rochester,NY,14609,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 1:30pm-2:30pm,July 8-December 16,M/X,Y,Y,N,Y,43.1658,-77.56665,"(43.1658, -77.56665)"
Chautauqua,Roberto Fred Farm Stand,10655 Temple Rd Dunkirk,10655 Temple Rd,Dunkirk,NY,14048,Roberto Fred,7163667200,,Daily  9am-6pm,June 1-November 30,M,Y,Y,N,Y,42.464201,-79.361694,"(42.464201, -79.361694)"
Niagara,Becken Farms Farm Stand,2585 Upper Mt. Rd Sanborn,2585 Upper Mt. Rd,Sanborn,NY,14132,Randy Becken,7169904454,,Thur-Sat 10am-5pm,August 13-October 31,M,Y,N,N,Y,43.16823,-78.90518,"(43.16823, -78.90518)"
Onondaga,Gillie Brook Farm Stand,6147 Gillie Brook Rd.  Memphis,6147 Gillie Brook Road,Memphis,NY,13112,Robert Nogash,3156723706,http://www.gilliefarms.com,Sun 10am-3pm,April 30-Feb 2021,P/M/X/W,Y,Y,N,Y,43.07172,-76.35375,"(43.07172, -76.35375)"
Westchester,Pleasantville WINTER Farmers' Market,"Pleasantville Middle School, 40 Romer Ave",40 Romer Ave,Pleasantville,NY,10570,Steven Bates,9142054545,http://www.pleasantvillefarmersmarket.org,Saturday  8:30am-1pm,December 7-March 28,X/W,N,Y,N,Y,41.134501,-73.785274,"(41.134501, -73.785274)"
Kings,Fort Greene Park Greenmarket,Washington Park btwn Dekalb Ave. & Willoughby St.,Washington Park and DeKalb Ave,Brooklyn,NY,11205,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.68962,-73.97313,"(40.68962, -73.97313)"
Rensselaer,Veggie Mobile-Kennedy Towers Apts,2100 6th Ave. Troy,2100 6th Avenue,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 2:45pm-3:45pm,Year-round,YR,Y,Y,Y,Y,42.73495,-73.68493,"(42.73495, -73.68493)"
Bronx,Parkchester Greenmarket,1878 Cross Bx Service Rd South Bronx,White Plains Rd & Westchester Avet,Bronx,NY,10472,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-4pm,June 5-November 27,M,Y,Y,N,Y,40.83319,-73.86257,"(40.83319, -73.86257)"
Clinton,Champlain Farmers' Market,Paquette Park Gazebo Main Street (rte 9),Main Street,Champlain,NY,12919,Janet McFetridge,5182984152,http://www.vchamplain.com/,Saturday  9am-12pm,June 15-September 15,M,Y,N,N,Y,44.98721,-73.44961,"(44.98721, -73.44961)"
Niagara,Lockport Community Farmers' Market,21 Main St,57 Canal Street,Lockport,NY,14094,Jessica Dittly,7164340212,http://www.lockportcommunitymarket.com,Saturday  9am-2pm,June 27-October 31,M,Y,Y,N,Y,43.1705,-78.694,"(43.1705, -78.694)"
Hamilton,Speculator Farmers & Crafters Farmers' Market,Speculator Village Pavilion Route 30,State Route 30 and Elliot Ln,Speculator,NY,12164,Donna Benkovich,5185484521,http://www.speculatorchamber.com,Thursday  2pm-5pm,June 25-September 17,M,Y,N,N,Y,43.49679,-74.36073,"(43.49679, -74.36073)"
Kings,Seeds in the Middle Farm Stand-Brownsville,PS 284  213 Osborn St Brooklyn,213 Osborn St,Brooklyn,NY,11212,Nancie Katz,9176973745,http://seedsinthemiddle.org,Friday 2pm-5pm,Year-round,YR,Y,Y,N,Y,40.66699,-73.90811,"(40.66699, -73.90811)"
St. Lawrence,Canton Tuesday Farmers' Market,Village Green Park 17 Park st at Main St.,Main St and Park St,Canton,NY,13617,Elizabeth Parson,3156048133,https://www.facebook.com/CantonNYFarmersMarket/,Tuesday  9am-2pm,May 12-October 27,P/M,Y,Y,N,Y,44.59564,-75.16921,"(44.59564, -75.16921)"
Queens,Queens Botanical Garden Farmers' Market,82 Dahlia Ave. at Main St. Sidewalk,Main St and Dahlia Ave,Flushing,NY,11355,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Friday  8:30am-4pm,June 12-November 27,M,Y,Y,N,Y,40.75186,-73.82636,"(40.75186, -73.82636)"
Suffolk,East Hampton Farmers' Market,"60 Spinner Lane East Hampton, Calvary Baptist Church",60 Spinner Lane,East Hampton,NY,11937,Katherine Plumb,6317259133,http://www.facebook.com/East-Hampton-Farmers-Market-177816025660504/,Friday  9am-1pm,June 5-September 11,P/M,Y,Y,N,Y,40.9779,-72.17646,"(40.9779, -72.17646)"
Monroe,Curbside Market-The Hamilton Apts,185 Mt. Hope Ave. Rochester,185 Mount Hope Avenue,Rochester,NY,14620,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Sat 11:45am-1pm,July 11-December 19,M/X,Y,Y,N,Y,43.14573,-77.61013,"(43.14573, -77.61013)"
Washington,Whitehall Rt. 22 Farmers' Market,Canal Park Pavillion Skenesborough Dr,Skenesborugh Drive Canal Park,Whitehall,NY,12887,Cyd Groff,5186421653,http://www.facebook.com/Route-22-Farmers-Market-Salem-Granville-Whitehall-104950399561700/,Tuesday  1pm-4pm,June 9-October 20,M,Y,N,N,Y,43.55205,-73.40302,"(43.55205, -73.40302)"
Saratoga,Saratoga Farmers' Market-Wednesday,"Wilton Mall (outside Bow-Tie Cinemas), 3065 NY-50",3065 Route 50,Wilton,NY,12866,Emily Meagher,5187083698,http://www.saratogafarmersmarket.org,Wednesday 3pm-6pm,May 6-October 28,P/M,Y,Y,Y,Y,43.10469,-73.74154,"(43.10469, -73.74154)"
